LEXENTRY:	LARGO DAS	LARGO DAS	TYPE	DET_PRE
LEXENTRY:	LARGO DE	LARGO DE	TYPE	DET_PRE
LEXENTRY:	LARGO DO	LARGO DO	TYPE	DET_PRE
LEXENTRY:	LARGO DOS	LARGO DOS	TYPE	DET_PRE
LEXENTRY:	LEIRIA	LEIRIA	PROV	DETACH
LEXENTRY:	LGO	LARGO	TYPE	DET_PRE
LEXENTRY:	LGO DA	LARGO DA	TYPE	DET_PRE
LEXENTRY:	LGO DAS	LARGO DAS	TYPE	DET_PRE
LEXENTRY:	LGO DE	LARGO DE	TYPE	DET_PRE
LEXENTRY:	LGO DO	LARGO DO	TYPE	DET_PRE
LEXENTRY:	LGO DOS	LARGO DOS	TYPE	DET_PRE
LEXENTRY:	LGO.	LARGO	TYPE	DET_PRE
LEXENTRY:	LGO. DA	LARGO DA	TYPE	DET_PRE
LEXENTRY:	LGO. DAS	LARGO DAS	TYPE	DET_PRE
LEXENTRY:	LGO. DE	LARGO DE	TYPE	DET_PRE
LEXENTRY:	LGO. DO	LARGO DO	TYPE	DET_PRE
LEXENTRY:	LGO. DOS	LARGO DOS	TYPE	DET_PRE
LEXENTRY:	LISBON	LISBOA	PROV	DETACH
LEXENTRY:	LISBONA	LISBOA	PROV	DETACH
LEXENTRY:	LISBONNE	LISBOA	PROV	DETACH
LEXENTRY:	LISSABON	LISBOA	PROV	DETACH
LEXENTRY:	MAL.	MARECHAL	WORD	DETACH
LEXENTRY:	MARECHAL	MARECHAL	WORD	DETACH
LEXENTRY:	NAC.	NACIONAL	WORD	DETACH
LEXENTRY:	NACIONAL	NACIONAL	WORD	DETACH
LEXENTRY:	OPORTO	OPORTO	PROV	DETACH
LEXENTRY:	PASSEIO	PASSEIO	TYPE	DET_PRE
LEXENTRY:	PASSEIO DA	PASSEIO DA	TYPE	DET_PRE
LEXENTRY:	PASSEIO DAS	PASSEIO DAS	TYPE	DET_PRE
LEXENTRY:	PASSEIO DE	PASSEIO DE	TYPE	DET_PRE
LEXENTRY:	PASSEIO DO	PASSEIO DO	TYPE	DET_PRE
LEXENTRY:	PASSEIO DOS	PASSEIO DOS	TYPE	DET_PRE
LEXENTRY:	PATIO DA	PATIO DA	TYPE	DET_PRE
LEXENTRY:	PATIO DAS	PATIO DAS	TYPE	DET_PRE
LEXENTRY:	PATIO DE	PATIO DE	TYPE	DET_PRE
LEXENTRY:	PATIO DO	PATIO DO	TYPE	DET_PRE
LEXENTRY:	PONTE	PONTE	TYPE	DET_PRE
LEXENTRY:	PONTE DA	PONTE DA	TYPE	DET_PRE
LEXENTRY:	PONTE DE	PONTE DE	TYPE	DET_PRE
LEXENTRY:	PONTE DO	PONTE DO	TYPE	DET_PRE
LEXENTRY:	PORTALEGRE	PORTALEGRE	PROV	DETACH
LEXENTRY:	PORTO	PORTO	PROV	DETACH
LEXENTRY:	PORTOGALLO	PORTUGAL	NATION	DETACH
LEXENTRY:	PORTUGAL	PORTUGAL	NATION	DETACH
LEXENTRY:	PORTUGALI	PORTUGAL	NATION	DETACH
LEXENTRY:	PORTUGALSKO	PORTUGAL	NATION	DETACH
LEXENTRY:	PR	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PR DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PR DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PR DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PR DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PR DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	PR.	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PR. DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PR. DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PR. DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PR. DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PR. DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	PRACETA	PRACETA	TYPE	DET_PRE
LEXENTRY:	PRACETA DA	PRACETA DA	TYPE	DET_PRE
LEXENTRY:	PRACETA DAS	PRACETA DAS	TYPE	DET_PRE
LEXENTRY:	PRACETA DE	PRACETA DE	TYPE	DET_PRE
LEXENTRY:	PRACETA DO	PRACETA DO	TYPE	DET_PRE
LEXENTRY:	PRACETA DOS	PRACETA DOS	TYPE	DET_PRE
LEXENTRY:	PRAZA	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PRAZA DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PRAZA DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PRAZA DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PRAZA DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PRAZA DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	PRAÇA	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PRAÇA DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PRAÇA DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PRAÇA DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PRAÇA DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PRAÇA DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	PRT	PORTUGAL	NATION	DETACH
LEXENTRY:	PT	PORTUGAL	NATION	DETACH
LEXENTRY:	PÁTEO	PÁTEO	TYPE	DET_PRE
LEXENTRY:	PÁTEO DE	PÁTEO DE	TYPE	DET_PRE
LEXENTRY:	PÁTEO DO	PÁTEO DO	TYPE	DET_PRE
LEXENTRY:	PÁTEO DOS	PÁTEO DOS	TYPE	DET_PRE
LEXENTRY:	PÁTIO	PÁTIO	TYPE	DET_PRE
LEXENTRY:	PÁTIO DA	PÁTIO DA	TYPE	DET_PRE
LEXENTRY:	PÁTIO DAS	PÁTIO DAS	TYPE	DET_PRE
LEXENTRY:	PÁTIO DE	PÁTIO DE	TYPE	DET_PRE
LEXENTRY:	PÁTIO DO	PÁTIO DO	TYPE	DET_PRE
LEXENTRY:	PÁTIO DOS	PÁTIO DOS	TYPE	DET_PRE
LEXENTRY:	PÇ	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PÇ DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PÇ DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PÇ DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PÇ DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PÇ DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	PÇ.	PRAÇA	TYPE	DET_PRE
LEXENTRY:	PÇ. DA	PRAÇA DA	TYPE	DET_PRE
LEXENTRY:	PÇ. DAS	PRAÇA DAS	TYPE	DET_PRE
LEXENTRY:	PÇ. DE	PRAÇA DE	TYPE	DET_PRE
LEXENTRY:	PÇ. DO	PRAÇA DO	TYPE	DET_PRE
LEXENTRY:	PÇ. DOS	PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	QTA	QUINTA	WORD	DETACH
LEXENTRY:	QTA.	QUINTA	WORD	DETACH
LEXENTRY:	QUINTA	QUINTA	WORD	DETACH
LEXENTRY:	R	RUA	TYPE	DET_PRE
LEXENTRY:	R DA	RUA DA	TYPE	DET_PRE
LEXENTRY:	R DAS	RUA DAS	TYPE	DET_PRE
LEXENTRY:	R DE	RUA DE	TYPE	DET_PRE
LEXENTRY:	R DO	RUA DO	TYPE	DET_PRE
LEXENTRY:	R DOS	RUA DOS	TYPE	DET_PRE
LEXENTRY:	R.	RUA	TYPE	DET_PRE
LEXENTRY:	R. DA	RUA DA	TYPE	DET_PRE
LEXENTRY:	R. DAS	RUA DAS	TYPE	DET_PRE
LEXENTRY:	R. DE	RUA DE	TYPE	DET_PRE
LEXENTRY:	R. DO	RUA DO	TYPE	DET_PRE
LEXENTRY:	R. DOS	RUA DOS	TYPE	DET_PRE
LEXENTRY:	RAMPA	RAMPA	TYPE	DET_PRE
LEXENTRY:	RAMPA DAS	RAMPA DAS	TYPE	DET_PRE
LEXENTRY:	RAMPA DO	RAMPA DO	TYPE	DET_PRE
LEXENTRY:	ROSSIO DA	ROSSIO DA	TYPE	DET_PRE
LEXENTRY:	ROSSIO DE	ROSSIO DE	TYPE	DET_PRE
LEXENTRY:	ROSSIO DO	ROSSIO DO	TYPE	DET_PRE
LEXENTRY:	RUA	RUA	TYPE	DET_PRE
LEXENTRY:	RUA DA	RUA DA	TYPE	DET_PRE
LEXENTRY:	RUA DAS	RUA DAS	TYPE	DET_PRE
LEXENTRY:	RUA DE	RUA DE	TYPE	DET_PRE
LEXENTRY:	RUA DO	RUA DO	TYPE	DET_PRE
LEXENTRY:	RUA DOS	RUA DOS	TYPE	DET_PRE
LEXENTRY:	S.	SÃO	WORD	DETACH
LEXENTRY:	SALA	SALA	UNITH	DETACH
LEXENTRY:	SANTARÉM	SANTAREM	PROV	DETACH
LEXENTRY:	SETÚBAL	SETUBAL	PROV	DETACH
LEXENTRY:	SÃO	SÃO	WORD	DETACH
LEXENTRY:	TERREIRO	TERREIRO	TYPE	DET_PRE
LEXENTRY:	TERREIRO DA	TERREIRO DA	TYPE	DET_PRE
LEXENTRY:	TRAVESSA	TRAVESSA	TYPE	DET_PRE
LEXENTRY:	TRAVESSA DA	TRAVESSA DA	TYPE	DET_PRE
LEXENTRY:	TRAVESSA DAS	TRAVESSA DAS	TYPE	DET_PRE
LEXENTRY:	TRAVESSA DE	TRAVESSA DE	TYPE	DET_PRE
