LEXICON:	pagc-converted	USA	en_US	
LEXENTRY:	CDO	COMMERCIAL DEALERSHIP	BUILDT	
LEXENTRY:	CDS	CUL DE SAC	TYPE	
LEXENTRY:	CE	CENTRE	TYPE	
LEXENTRY:	CEN	CENTER	BUILDT,TYPE	
LEXENTRY:	CENT	CENTER	BUILDT,TYPE	
LEXENTRY:	CENTE	CENTER	BUILDT,TYPE	
LEXENTRY:	CENTER	CENTER	BUILDT,TYPE,WORD	
LEXENTRY:	CENTERS	CENTER	BUILDT	
LEXENTRY:	CENTR	CENTER	BUILDT,TYPE	
LEXENTRY:	CENTRAL	CENTRAL	WORD	
LEXENTRY:	CENTRE	CENTER	BUILDT,TYPE,WORD	
LEXENTRY:	CENTRES	CENTER	BUILDT	
LEXENTRY:	CENTRO	CENTER	BUILDT,TYPE	
LEXENTRY:	CERCLE	CERCLE	TYPE,WORD	
LEXENTRY:	CFB	CANADIAN FORCES BASE	BUILDT	
LEXENTRY:	CG	CROSSING	TYPE	
LEXENTRY:	CH	CHEMIN	TYPE	
LEXENTRY:	CH	CHURCH	BUILDT	
LEXENTRY:	CHASE	CHASE	TYPE,WORD	
LEXENTRY:	CHEMIN	CHEMIN	TYPE	
LEXENTRY:	CHURCH	CHURCH	WORD,BUILDT	
LEXENTRY:	CIR	CIRCLE	TYPE	
LEXENTRY:	CIRC	CIRCULO	TYPE	
LEXENTRY:	CIRCL	CIRCLE	TYPE	
LEXENTRY:	CIRCLE	CIRCLE	TYPE,WORD	
LEXENTRY:	CIRCT	CIRCUIT	TYPE,WORD	
LEXENTRY:	CIRCUIT	CIRCUIT	TYPE,WORD	
LEXENTRY:	CIRCULO	CIRCULO	TYPE	
LEXENTRY:	CJA	CALLEJA	TYPE	
LEXENTRY:	CJON	CALLEJON	TYPE	
LEXENTRY:	CK	CREEK	WORD	
LEXENTRY:	CL	CIRCLE	TYPE,WORD	
LEXENTRY:	CLB	CLUB	TYPE,BUILDT,WORD	
LEXENTRY:	CLF	CLIFF	WORD	
LEXENTRY:	CLFS	CLIFFS	WORD	
LEXENTRY:	CLG	COLLEGE	BUILDT	
LEXENTRY:	CLIFF	CLIFF	WORD	
LEXENTRY:	CLIFFS	CLIFFS	WORD	
LEXENTRY:	CLLE	CALLE	TYPE	
LEXENTRY:	CLLJ	CALLEJON	TYPE	
LEXENTRY:	CLOS	CLOSE	TYPE,WORD	
LEXENTRY:	CLOSE	CLOSE	TYPE,WORD	
LEXENTRY:	CLTN	COLLECTION	BUILDT	
LEXENTRY:	CLUB	CLUB	TYPE,BUILDT,WORD	
LEXENTRY:	CMC	COMMUNITY MAIL CENTRE	BUILDT	
LEXENTRY:	CMNS	COMMONS	TYPE,BUILDT	
LEXENTRY:	CMP	CAMP	WORD	
LEXENTRY:	CN	CONCESSION	TYPE,WORD	
LEXENTRY:	CNCN	CONNECTION	BUILDT	
LEXENTRY:	CNR	CORNER	BUILDT,TYPE	
LEXENTRY:	CNT	CENTER	BUILDT,TYPE	
LEXENTRY:	CNTER	CENTER	BUILDT,TYPE	
LEXENTRY:	CNTR	CENTER	BUILDT,TYPE	
LEXENTRY:	CNTRE	CENTER	BUILDT,TYPE	
LEXENTRY:	CNTRL	CENTRAL	WORD	
LEXENTRY:	CNTY HIGHWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CNTY HIWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CNTY HWY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CNTY RD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CNTY ROAD	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	CNTY ROUTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CNTY RT	COUNTY ROUTE	ROAD	
LEXENTRY:	CNTY RTE	COUNTY ROUTE	ROAD	
LEXENTRY:	CNYN	CANYON	WORD	
LEXENTRY:	CO	COLORADO	PROV,WORD,ROAD	
LEXENTRY:	CO	COTE	TYPE	
LEXENTRY:	CO HIGHWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CO HIWAY	COUNTY HIGHWAY	ROAD	
LEXENTRY:	CO HWY	COUNTY HIGHWAY	ROAD	
